# Id	FilePath			R	G	B
[TEXTURES]
0	Resources/bbox.png	255	255	255
1	Resources/Simon.png	255	0	255
2	Resources/Weapons/MorningStar.png	255	0	255
3	Resources/Weapons/Dagger.png	255	0	255
4	Resources/Weapons/Boomerang.png	255	0	255
10	Resources/UI/BlackBoard.png	255	255	255
11	Resources/UI/HP.png	255	255	255
12	Resources/UI/Texts.png	255	0	255
20	Resources/Objects/Ground.png	255	255	255
21	Resources/Objects/Ground.png	255	255	255
22	Resources/Objects/Torch.png	255	0	255
23	Resources/Objects/Candle.png	255	0	255
24	Resources/Objects/MovingPlatform.png	116	116	116
25	Resources/Objects/Stair.png	255	255	255
26	Resources/Objects/Gate.png	255	0	255

40	Resources/Items/SmallHeart.png	255	0	255
41	Resources/Items/BigHeart.png	255	0	255
42	Resources/Items/YummiChickenLeg.png	255	0	255
43	Resources/Items/MoneyBags.png	255	0	255
47	Resources/Items/UpgradeMS.png	255	0	255
48	Resources/Items/CrystalBall.png	255	0	255
49	Resources/Items/InviPotion.png	255	0	255
50	Resources/Items/Dagger.png	255	0	255
51	Resources/Items/StopWatch.png	255	0	255
52	Resources/Items/Cross.png	255	0	255
53	Resources/Items/Crown.png	255	0	255
54	Resources/Items/ExtraShot.png	255	0	255
55	Resources/Items/Boomerang.png	255	0	255

70	Resources/Effects/Fire.png	255	0	255
71	Resources/Effects/Hit.png	255	0	255
72	Resources/Effects/BrickExplode.png	255	0	255
73	Resources/Effects/Score.png	255	0	255

80	Resources/Enemies/VampireBat.png	255	0	255
81	Resources/Enemies/Zombie.png	255	0	255
82	Resources/Enemies/DarkenBat.png	255	0	255
83	Resources/Enemies/Knight.png	116	116	116
84	Resources/Enemies/Ghost.png	255	0	255
85	Resources/Enemies/Raven.png	255	0	255
86	Resources/Enemies/Hunchman.png	255	0	255
87	Resources/Enemies/Eagle.png	255	0	255

100	Resources/Scene/TitleScene.png	255	0	255
101	Resources/Scene/TitleBat.png	255	0	255
102	Resources/Scene/StartText.png	255	0	255
103	Resources/Scene/IntroScene.png	255	0	255
104	Resources/Simon.png	255	0	255
106	Resources/TileMap/TilesetStage1.png	255	0	255
107	Resources/TileMap/TilesetStage2.png	255	0	255
108	Resources/TileMap/TilesetStage2.png	255	0	255
109	Resources/TileMap/TilesetStage3.png	255	0	255
110	Resources/TileMap/TilesetStage3.png	255	0	255

# id	left	top	right	bottom	texture_id
[SPRITES]
# Simon
# Die
0	240	192	300	256	1
# Idle
1	0	0	60	64	1
# Walking
2	60	0	120	64	1
3	120	0	180	64	1
4	180	0	240	64	1
# Jumping
5	240	0	300	64	1
# Attacking
6	300	0	360	64	1
7	360	0	420	64	1
8	420	0	480	64	1
# Hurt
9	0	64	60	128	1
# Sitting
10	300	192	360	256	1
# Sit Attack
11	420	64	480	128	1
12	0	128	60	192	1
13	60	128	120	192	1
# Upgrading
14	0	192	60	256	1
15	60	192	120	256	1
16	120	192	180	256	1
17	180	192	240	256	1

# MS
# MS 1
50	0	0	160	68	2
51	160	0	320	68	2
52	320	0	480	68	2
# MS 2
53	0	68	160	136	2
54	160	68	320	136	2
55	320	68	480	136	2
# MS 3
56	0	136	160	204	2
57	160	136	320	204	2
58	320	136	480	204	2

# Dagger
62	0	0	32	18	3

# Boomerang
63	0	0	28	28	4
64	28	0	56	28	4
65	56	0	84	28	4

# Black Board
80	0	0	520	80	10

# HP
81	0	0	8	15	11
82	8	0	16	15	11
83	16	0	24	15	11

# Texts
# Number 0
84	0	28	15	42	12
85	15	28	30	42	12
86	30	28	45	42	12
87	45	28	60	42	12
88	60	28	75	42	12
89	75	28	90	42	12
90	90	28	105	42	12
91	105	28	120	42	12
92	120	28	135	42	12
93	135	28	150	42	12
94	150	28	165	42	12

# Brick
100	0	0	32	32	20
101	32	0	64	32	20
102	64	0	96	32	20
103	96	0	128	32	20

# BreakableBrick
104	0	0	32	32	21
105	32	0	64	32	21
106	64	0	96	32	21
107	96	0	128	32	21

# Torch
108	0	0	32	64	22
109	32	0	64	64	22

# Candle 
110	0	0	16	32	23
111	16	0	32	32	23

# MovingFlatform
112	0	0	64	16	24

# Stairs
113	0	0	32	64	25
114	32	0	64	64	25

# Gate
119	0	0	48	96	26

# Small Heart
130	0	0	16	16	40
# Big Heart
131	0	0	24	20	41

# Chicken
132	0	0	32	26	42

# MoneyBags
133	0	0	30	30	43
134	30	0	60	30	43
135	60	0	90	30	43

# UpgradeMS
136	0	0	32	32	47

# CrystalBall
137	0	0	28	32	48
138	28	0	56	32	48

# InviPot
139	0	0	30	37	49

# ItemDagger
140	0	0	32	18	50

# StopWatch
141	0	0	30	32	51

# Cross
142	0	0	32	32	52

# Crown
143	0	0	32	32	53
144	32	0	64	32	53

# ItemExtraShot
145	0	0	32	32	54
146	32	0	64	32	54

# ItemBoomerang
